_id,is_closed,name,photo_200,screen_name,type
-36941068,0,AliExpress по-русски,https://pp.userapi.com/c834404/v834404910/27c73/PErTggVL154.jpg,aliexpress,page
-24098496,0,E-squire,https://pp.userapi.com/c836239/v836239426/4836d/L0ATJ9liFMo.jpg,ru.esquire,page
-34168005,0,Бизнес Портал,https://pp.userapi.com/c836625/v836625956/5dd12/MsDezPsD9CM.jpg,probizportal,page
-43660281,0,Питер Live,https://pp.userapi.com/c629230/v629230440/4c2e/XAeeWTVywRY.jpg,thepetersburg,page
-40498005,0,Психология отношений,https://pp.userapi.com/c840224/v840224723/46d54/tZlysyYoPOQ.jpg,psy.people,page
-29302425,0,Шедевры рекламы,https://pp.userapi.com/c638416/v638416715/10097/Xwhx63Oi-Y4.jpg,bestad,page
-48868052,0,Кинолюбители - Лучшие фильмы,https://pp.userapi.com/c637821/v637821862/62e8f/H6GX-VMKGY4.jpg,movie_loverss,page
-27725748,0,"Больше, чем фото",https://pp.userapi.com/c636617/v636617900/41e37/LtPwp-yzW-E.jpg,foto.blog,page
-460389,0,БОРЩ,https://pp.userapi.com/c637219/v637219157/41d14/4snD3nefDjQ.jpg,borsch,page
-23378353,0,улыбнуло,https://pp.userapi.com/c841022/v841022902/14ff0/cT1qS2wkIDg.jpg,vkclass,page
-25421850,0,Вдохновение.,https://pp.userapi.com/c633121/v633121291/2e99d/Cr3PEci3HbQ.jpg,workart,page
-12382740,0,ЁП,https://pp.userapi.com/c633425/v633425758/3a905/ZU74NWXkIZM.jpg,fuck_humor,page
-26419239,0,Смейся до слёз :D,https://pp.userapi.com/c638330/v638330437/23f08/GBUFfwIRS7A.jpg,ifun,page
-33769500,0,Достойные фильмы,https://pp.userapi.com/c624118/v624118335/1c8d5/Lvc2DO6znG8.jpg,dfilm,page
-45064245,0,Школа красоты| Бьюти БОТ,https://pp.userapi.com/c824203/v824203336/2f3fc/8kmkOCcWfac.jpg,be.beauty,page
-27895931,0,Новинки Музыки 2017,https://pp.userapi.com/c841338/v841338710/30684/bEU7MDwM-JM.jpg,exclusive_muzic,page
-36164349,0,Сарказм,https://pp.userapi.com/c837423/v837423911/637a9/Nihz1tEK-cU.jpg,s_arcazm,page
-38683579,0,Лучшие стихи великих поэтов | Литература,https://pp.userapi.com/c633222/v633222228/33b87/NEdlGdijIno.jpg,1poetry,page
-48319873,0,Империя Кино,https://pp.userapi.com/c837128/v837128198/777b6/1dSb1pE1Chw.jpg,i.kino,page
-28673372,0,Дневник успеха,https://pp.userapi.com/c628520/v628520280/a19c/20RJzxUCc94.jpg,stayapple,page
-42307767,0,Почему? Повышаем IQ,https://pp.userapi.com/c625817/v625817485/7610/bzbM_0Fytys.jpg,pochemu,page
-58170807,0,КиноКайф - Лучшие фильмы,https://pp.userapi.com/c639816/v639816257/1b1c7/J21zJRKAZIw.jpg,kino_kaif,page
-43688579,0,Шедевры рукоделия,https://pp.userapi.com/c841326/v841326543/364a9/D2j_k3yVqtI.jpg,h.made,page
-33080201,0,Философия | Психология | Саморазвитие,https://pp.userapi.com/c631126/v631126753/136e3/y4fS3z4AoLg.jpg,dr.house4you,page
-46117626,0,Рецепты: вкусно и просто🍴,https://pp.userapi.com/c626418/v626418115/38a13/Pyr2UHDMzvA.jpg,cook_bon,page
-31189947,0,"Правда Жизни | Юмор, Мотивация, Сарказм, Цитаты",https://pp.userapi.com/c639721/v639721123/200b7/FRmi85IzhQc.jpg,life_of_true,page
-29690457,0,Шедевры литературы | книги,https://pp.userapi.com/c617924/v617924400/22fbc/NCxC1iAdANY.jpg,shbooks,page
-30953300,0,Хитрости жизни,https://pp.userapi.com/c631326/v631326734/2b5d8/aHgwRnCRr5Y.jpg,lifecheater,page
-35143550,0,Всегда говори Да | Мотивация и вдохновение,https://pp.userapi.com/c413820/v413820259/4cce/wcPc11tVwKk.jpg,m_yes,page
-25117353,0,Discovery,https://pp.userapi.com/c626418/v626418088/4c995/pSASh8vfFOM.jpg,discovery__world,page
