_id,is_closed,name,photo_200,screen_name,type,dt_create,link
-26750264,0,5 лучших фильмов,https://pp.userapi.com/c840320/v840320391/22170/j6y8QzL0Rqs.jpg,xfilm,page,2012https://vk.com/public26750264
-39728801,0,90-60-90 | Спортивные девушки,https://pp.userapi.com/c623625/v623625905/51454/7or9PbRDP8o.jpg,9o_6o_9o,page,2014,https://vk.com/public39728801
-36147615,0,Английский язык,https://pp.userapi.com/c639527/v639527867/17e88/0n5rVFig-_4.jpg,english_is_fun,page,2013,https://vk.com/public36147615
-55662720,0,Психология,https://pp.userapi.com/c841627/v841627669/3a5e0/qSee0vkKwiU.jpg,psyxov,page,2013,https://vk.com/public55662720
-22822305,0,Команда ВКонтакте,https://pp.userapi.com/c623616/v623616034/1c183/iYHejnzHARQ.jpg,team,page,2013,https://vk.com/public22822305
-34483558,0,Smart Money|Бизнес журнал,https://pp.userapi.com/c631530/v631530753/12f76/PqGTdLWj8eg.jpg,smart4you,page,2012,https://vk.com/public34483558
-27570276,0,"Мастерская ""220 Вольт""",https://pp.userapi.com/c636117/v636117662/34d22/vY-n1fX5G3Y.jpg,likevolt,page,2012,https://vk.com/public27570276
-47679753,0,Smart - умный журнал!,https://pp.userapi.com/c639623/v639623127/5fd77/PrchtBMdf4w.jpg,be.smart,page,2013,https://vk.com/public47679753
-48946342,0,YUMMY - лучшие рецепты,https://pp.userapi.com/c639729/v639729944/6e2ba/h90-F9GQbJ0.jpg,i.cook,page,2013,https://vk.com/public48946342
-31805219,0,Идеи для творчества и подарков своими руками,https://pp.userapi.com/c627220/v627220547/30206/moBZZ1uxWtU.jpg,i_d_t,page,2011,https://vk.com/public31805219
-43879004,0,Шедевры кулинарии,https://pp.userapi.com/c631430/v631430107/4cd9a/4RFKkMeZ3TU.jpg,sh.cook,page,2013,https://vk.com/public43879004
-36941068,0,AliExpress по-русски,https://pp.userapi.com/c834404/v834404910/27c73/PErTggVL154.jpg,aliexpress,page,2013,https://vk.com/public36941068
-55817470,0,Праздник,https://pp.userapi.com/c626627/v626627732/2d376/w8hI9E7FaXk.jpg,prazdnik_kd,page,2013,https://vk.com/public55817470
-34980638,0,Успех ― как стиль жизни.,https://pp.userapi.com/c408926/v408926324/1ad/BxzQmFn9UEA.jpg,lifesuccess,page,2013,https://vk.com/public34980638
-37990567,0,Детский Петербург,https://pp.userapi.com/c837631/v837631364/5c354/eZhpc4ZcW8I.jpg,seminary_deti,page,2013,https://vk.com/public37990567
-39733006,0,✿ Продвинутая мама  Подпишись,https://pp.userapi.com/c410629/v410629569/7855/fEJj1ip4WEY.jpg,businessmama,page,2012,https://vk.com/public39733006
-43000845,0,"Красивые фото, стихи, рассказы",https://pp.userapi.com/c323131/v323131732/4dbb/KTYzrKOSxig.jpg,glory_world,page,2012,https://vk.com/public43000845
-43660281,0,Питер Live,https://pp.userapi.com/c629230/v629230440/4c2e/XAeeWTVywRY.jpg,thepetersburg,page,2015,https://vk.com/public43660281
-40498005,0,Психология отношений,https://pp.userapi.com/c840224/v840224723/46d54/tZlysyYoPOQ.jpg,psy.people,page,2013,https://vk.com/public40498005
-38744784,0,Другая Литература,https://pp.userapi.com/c841522/v841522088/33d6e/0rhM5G1-F60.jpg,book,page,2014,https://vk.com/public38744784
-39934740,0,Славянские красоты ▶ Славяне,https://pp.userapi.com/c638224/v638224127/63ff5/J6Y9pyqa8g4.jpg,slavpriroda,page,2015,https://vk.com/public39934740
-28854940,0,Филологическая Дева,https://pp.userapi.com/c631226/v631226599/1e77a/uQmoGnrl0fg.jpg,ph_maiden,page,2013,https://vk.com/public28854940
-29302425,0,Шедевры рекламы,https://pp.userapi.com/c638416/v638416715/10097/Xwhx63Oi-Y4.jpg,bestad,page,2013,https://vk.com/public29302425
-48868052,0,Кинолюбители - Лучшие фильмы,https://pp.userapi.com/c637821/v637821862/62e8f/H6GX-VMKGY4.jpg,movie_loverss,page,2013,https://vk.com/public48868052
-42370413,0,Аэротруба FlyStation,https://pp.userapi.com/c840526/v840526446/20f07/eYR79Yn3zuI.jpg,flystationspb,page,2016,https://vk.com/public42370413
-27725748,0,"Больше, чем фото",https://pp.userapi.com/c636617/v636617900/41e37/LtPwp-yzW-E.jpg,foto.blog,page,2013,https://vk.com/public27725748
-30770434,0,И так сойдет!,https://pp.userapi.com/c626117/v626117251/70a7a/WPGoYKItlGA.jpg,itakks,page,2016,https://vk.com/public30770434
-460389,0,БОРЩ,https://pp.userapi.com/c637219/v637219157/41d14/4snD3nefDjQ.jpg,borsch,page,2012,https://vk.com/public460389
-23378353,0,улыбнуло,https://pp.userapi.com/c841022/v841022902/14ff0/cT1qS2wkIDg.jpg,vkclass,page,2016,https://vk.com/public23378353
-25421850,0,Вдохновение.,https://pp.userapi.com/c633121/v633121291/2e99d/Cr3PEci3HbQ.jpg,workart,page,2016,https://vk.com/public25421850
-12382740,0,ЁП,https://pp.userapi.com/c633425/v633425758/3a905/ZU74NWXkIZM.jpg,fuck_humor,page,2012,https://vk.com/public12382740
-26419239,0,Смейся до слёз :D,https://pp.userapi.com/c638330/v638330437/23f08/GBUFfwIRS7A.jpg,ifun,page,2013,https://vk.com/public26419239
-33769500,0,Достойные фильмы,https://pp.userapi.com/c624118/v624118335/1c8d5/Lvc2DO6znG8.jpg,dfilm,page,2012,https://vk.com/public33769500
-45064245,0,Школа красоты| Бьюти БОТ,https://pp.userapi.com/c824203/v824203336/2f3fc/8kmkOCcWfac.jpg,be.beauty,page,2012,https://vk.com/public45064245
-27895931,0,Новинки Музыки 2017,https://pp.userapi.com/c841338/v841338710/30684/bEU7MDwM-JM.jpg,exclusive_muzic,page,2013,https://vk.com/public27895931
-36164349,0,Сарказм,https://pp.userapi.com/c837423/v837423911/637a9/Nihz1tEK-cU.jpg,s_arcazm,page,2014,https://vk.com/public36164349
-38683579,0,Лучшие стихи великих поэтов | Литература,https://pp.userapi.com/c633222/v633222228/33b87/NEdlGdijIno.jpg,1poetry,page,2013,https://vk.com/public38683579
-48319873,0,Империя Кино,https://pp.userapi.com/c837128/v837128198/777b6/1dSb1pE1Chw.jpg,i.kino,page,2013,https://vk.com/public48319873
-28673372,0,Дневник успеха,https://pp.userapi.com/c628520/v628520280/a19c/20RJzxUCc94.jpg,stayapple,page,2014,https://vk.com/public28673372
-99020886,0,Калининский район Лайт,https://pp.userapi.com/c639718/v639718739/61b5b/LR1buSvCFFc.jpg,kalininskiy_light,page,2015,https://vk.com/public99020886
-69565480,0,Здоровье от Природы,https://pp.userapi.com/c614822/v614822129/97e0/BEf5yk9JLBY.jpg,health_natural,page,2014,https://vk.com/public69565480
-42307767,0,Почему? Повышаем IQ,https://pp.userapi.com/c625817/v625817485/7610/bzbM_0Fytys.jpg,pochemu,page,2014,https://vk.com/public42307767
-58170807,0,КиноКайф - Лучшие фильмы,https://pp.userapi.com/c639816/v639816257/1b1c7/J21zJRKAZIw.jpg,kino_kaif,page,2015,https://vk.com/public58170807
-22079806,0,Официальные страницы ВКонтакте,https://pp.userapi.com/c626619/v626619505/4e422/DeqlD2ua8As.jpg,officialpages,page,2014,https://vk.com/public22079806
-34889014,0,Диетические рецепты,https://pp.userapi.com/c639922/v639922352/18bf2/IrHFhtEJa58.jpg,dietsrecipes,page,2014,https://vk.com/public34889014
-43688579,0,Шедевры рукоделия,https://pp.userapi.com/c841326/v841326543/364a9/D2j_k3yVqtI.jpg,h.made,page,2014,https://vk.com/public43688579
-35157161,0,Мысли великих 📚,https://pp.userapi.com/c837230/v837230608/45aa/5WBeB_DrYJk.jpg,prosa_stihi,page,2016,https://vk.com/public35157161
-33080201,0,Философия | Психология | Саморазвитие,https://pp.userapi.com/c631126/v631126753/136e3/y4fS3z4AoLg.jpg,dr.house4you,page,2013,https://vk.com/public33080201
-40586683,0,Блог тренера 🏄,https://pp.userapi.com/c604521/v604521859/2fe19/wsXLaXLtlkk.jpg,smart_coach,page,2015,https://vk.com/public40586683
-31189947,0,"Правда Жизни | Юмор, Мотивация, Сарказм, Цитаты",https://pp.userapi.com/c639721/v639721123/200b7/FRmi85IzhQc.jpg,life_of_true,page,2011,https://vk.com/public31189947
-39441344,0,Другая фотография,https://pp.userapi.com/c626324/v626324861/40219/n579op9blI8.jpg,another_photos,page,2013,https://vk.com/public39441344
-29690457,0,Шедевры литературы | книги,https://pp.userapi.com/c617924/v617924400/22fbc/NCxC1iAdANY.jpg,shbooks,page,2011,https://vk.com/public29690457
-159882,0,Классическая музыка,https://pp.userapi.com/c425025/v425025428/1bd4/3r67L-NrKpg.jpg,classicmusic,page,2007,https://vk.com/public159882
-40182105,0,Думай и Богатей ©,https://pp.userapi.com/c308324/v308324814/442b/ZKPCFEWyvtQ.jpg,dumayibogatey,page,2012,https://vk.com/public40182105
-30953300,0,Хитрости жизни,https://pp.userapi.com/c631326/v631326734/2b5d8/aHgwRnCRr5Y.jpg,lifecheater,page,2011,https://vk.com/public30953300
-40150367,0,Фильмы Кино | Бот,https://pp.userapi.com/c836423/v836423305/615ad/NlZ6yXVubVo.jpg,online__2017,page,2016,https://vk.com/public40150367
-35143550,0,Всегда говори Да | Мотивация и вдохновение,https://pp.userapi.com/c413820/v413820259/4cce/wcPc11tVwKk.jpg,m_yes,page,2013,https://vk.com/public35143550
-25813425,0,АРТ искусство,https://pp.userapi.com/c636527/v636527457/310ab/ec55WvgeoJU.jpg,twitart,page,2011,https://vk.com/public25813425
-25117353,0,Discovery,https://pp.userapi.com/c626418/v626418088/4c995/pSASh8vfFOM.jpg,discovery__world,page,2014,https://vk.com/public25117353
-40335272,0,Фильмы,https://pp.userapi.com/c638021/v638021892/2e878/8DE9UMi7BTA.jpg,films_for_soul,page,2014,https://vk.com/public40335272
-26675756,0,Мудрость времён,https://pp.userapi.com/c411918/g26675756/d_28b4cfbe.jpg,mudrostvremen,page,2011,https://vk.com/public26675756
-35486626,0,Другая музыка,https://pp.userapi.com/c840239/v840239088/41735/hV-gVc1jAkk.jpg,another_muz,page,2012,https://vk.com/public35486626
-76477496,0,ВКонтакте с авторами,https://pp.userapi.com/c841122/v841122831/22ef5/GOOW3vHsSKU.jpg,authors,page,2014,https://vk.com/public76477496
-119756085,0,Все до 1000 СПБ • Санкт-Петербург • Питер,https://pp.userapi.com/c633829/v633829114/40a0e/LfHsJnH4WWQ.jpg,do1000rub,page,2016,https://vk.com/public119756085
-133726577,0,Анатомичка,https://pp.userapi.com/c637122/v637122451/6714e/L9PLlgVResM.jpg,anatomiyavk,page,2016,https://vk.com/public133726577
-53404312,0,Питер: Инструкция по применению,https://pp.userapi.com/c622322/v622322926/4ad32/Jm3jwFPNCLc.jpg,in_piter,page,2013,https://vk.com/public53404312
-23433159,0,Трахни Нормальность,https://pp.userapi.com/c639429/v639429319/4de07/dgKtIPuCQRw.jpg,trahninormalnost1,page,2014,https://vk.com/public23433159
-144495454,0,Короче говоря,https://pp.userapi.com/c637319/v637319934/4dcdf/ShrPseVrV1o.jpg,beshort,page,2017,https://vk.com/public144495454
-59086790,0,Отдам даром СПБ • Санкт-Петербург • Питер,https://pp.userapi.com/c629408/v629408556/3f2d6/ZGw0dU4Q7_s.jpg,otdamdarom.piter,page,2016,https://vk.com/public59086790
-18464856,0,Лучшие рецепты Повара,https://pp.userapi.com/c638923/v638923017/14057/SNQg9GiA9PE.jpg,vpovare,page,2012,https://vk.com/public18464856
